schoolId,name,level,schoolinfo,kess,ice,kessMinusIce,status,causeStatus,ordinary,special,itinerant,kessCell,iceCell,evidenceFile
kedi:230041135,계산고등학교,high,542,542,543,-1,MATCH,unconfirmed,534,8,0,학교별 주요통계!AN3952,고등학교!Z99,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041140,계산여자고등학교,high,454,454,455,-1,MATCH,unconfirmed,454,0,0,학교별 주요통계!AN3953,고등학교!Z100,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041235,인천중산고등학교,high,1062,1062,1064,-2,MATCH,unconfirmed,1048,14,0,학교별 주요통계!AN3967,고등학교!Z50,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041300,인천송천고등학교,high,693,693,692,1,MATCH,unconfirmed,683,10,0,학교별 주요통계!AN3973,고등학교!Z122,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041301,인천초은고등학교,high,869,869,870,-1,MATCH,unconfirmed,861,8,0,학교별 주요통계!AN3974,고등학교!Z171,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041305,인천영종고등학교,high,861,861,862,-1,MATCH,unconfirmed,852,9,0,학교별 주요통계!AN3978,고등학교!Z49,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041450,인천여자고등학교,high,798,798,799,-1,MATCH,unconfirmed,791,7,0,학교별 주요통계!AN3989,고등학교!Z141,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041623,광성고등학교,high,435,435,433,2,MATCH,unconfirmed,435,0,0,학교별 주요통계!AN3999,고등학교!Z62,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-query-resolution.json
kedi:230041669,동산고등학교,high,455,455,454,1,MATCH,unconfirmed,449,6,0,학교별 주요통계!AN4004,고등학교!Z29,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041681,인일여자고등학교,high,574,574,573,1,MATCH,unconfirmed,567,7,0,학교별 주요통계!AN4005,고등학교!Z47,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041738,박문여자고등학교,high,903,903,904,-1,MATCH,unconfirmed,894,9,0,학교별 주요통계!AN4009,고등학교!Z153,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230041995,신송고등학교,high,1008,1008,1007,1,MATCH,unconfirmed,994,14,0,학교별 주요통계!AN4029,고등학교!Z137,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230044467,인천예술고등학교,high,472,472,471,1,MATCH,unconfirmed,472,0,0,학교별 주요통계!AN4037,고등학교!Z125,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230052043,계산공업고등학교,high,434,434,432,2,MATCH,unconfirmed,420,14,0,학교별 주요통계!AN4042,고등학교!Z110,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:230052145,부평공업고등학교,high,383,383,384,-1,MATCH,unconfirmed,369,14,0,학교별 주요통계!AN4045,고등학교!Z83,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021188,인천대화초등학교,elem,289,289,288,1,MATCH,unconfirmed,274,15,0,학교별 주요통계!AN4178,초등학교!AH9,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021204,인천도화초등학교,elem,785,785,784,1,MATCH,unconfirmed,763,22,0,학교별 주요통계!AN4179,초등학교!AH10,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021272,백령초등학교,elem,41,41,42,-1,MATCH,unconfirmed,41,0,0,학교별 주요통계!AN4183,초등학교!AH44,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
